mall1 POLYGON ((-122.2 47.5, -122.2 47.6, -122.3 47.6, -122.3 47.5, -122.2 47.5))
mall249 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall250 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall251 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall252 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall253 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall254 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall255 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall256 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall257 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall258 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall259 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall260 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall261 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall262 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall263 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall264 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall265 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall266 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall267 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall268 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall269 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall270 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall271 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall272 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall273 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall274 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall275 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall276 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall277 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall278 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall279 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall280 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall281 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall282 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall283 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall284 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall285 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall286 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall287 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall288 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall289 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall290 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall291 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall292 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall293 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall294 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall295 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall296 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall297 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall298 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall299 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall300 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall301 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall302 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall303 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall304 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall305 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall306 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall307 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall308 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall309 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall310 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall311 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall312 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall313 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall314 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall315 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall316 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall317 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall318 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall319 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall320 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall321 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall322 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall323 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall324 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall325 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall326 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall327 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall328 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall329 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall330 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall331 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall332 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall333 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall334 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall335 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall336 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall337 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall338 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall339 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall340 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall341 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall342 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall343 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall344 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall345 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall346 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall347 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall348 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall349 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall350 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall351 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall352 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall353 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall354 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall355 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall356 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall357 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall358 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall359 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall360 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall361 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall362 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall363 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall364 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall365 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall366 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall367 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall368 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall369 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall370 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall371 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall372 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall373 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall374 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall375 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall376 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall377 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall378 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall379 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall380 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall381 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall382 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall383 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall384 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall385 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall386 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall387 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall388 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall389 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall390 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall391 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall392 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall393 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall394 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall395 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall396 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall397 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall398 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall399 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall400 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall401 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall402 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall403 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall404 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall405 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall406 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall407 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall408 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall409 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall410 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall411 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall412 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall413 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall414 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall415 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall416 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall417 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall418 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall419 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall420 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall421 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall422 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall423 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall424 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall425 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall426 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall427 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall428 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall429 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall430 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall431 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall432 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall433 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall434 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall435 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall436 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall437 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall438 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall439 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall440 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall441 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall442 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall443 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall444 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall445 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall446 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall447 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall448 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall449 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall450 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall451 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall452 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall453 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall454 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall455 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall456 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall457 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall458 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall459 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall460 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall461 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall462 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall463 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall464 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall465 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall466 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall467 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall468 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall469 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall470 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall471 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall472 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall473 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall474 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall475 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall476 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall477 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall478 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall479 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall480 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall481 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall482 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall483 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall484 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall485 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall486 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall487 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall488 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall489 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall490 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall491 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall492 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall493 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall494 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall495 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall496 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
